,sentence,relevant,chexpert_label,keyword_label,related_rad_label,other_finding
1111,There is a small left-sided pleural effusion with adjacent atelectasis as well,0.0,,,,1.0
1112,There is no pneumothorax,0.0,,,,0.0
1113,The cardiomediastinal and hilar contours are unchanged,0.0,,,,1.0
1114,A left-sided internal jugular central venous line ends at the origin of the SVC,0.0,,,,0.0
1115,Known calcified hepatic cyst projects over the right upper quadrant,0.0,,,,
1116,"Large right-sided pleural effusion with adjacent atelectasis, and small left-sided pleural effusion with adjacent atelectasis",0.0,,,,1.0
1117,Portable semi-upright radiograph of the chest demonstrates low lung volumes resultant bronchovascular crowding,0.0,,,,0.0
1118,"As before, there is a large right-sided pleural effusion and a small left-sided pleural effusion with adjacent atelectasis at both bases",0.0,,,,1.0
1119,The cardiomediastinal and hilar contours are unchanged,0.0,,,,1.0
1120,The endotracheal tube ends 5,0.0,,,,0.0
1121,5 cm from the carina,0.0,,,,0.0
1122,A left-sided internal jugular central venous line ends in the origin of the SVC,0.0,,,,0.0
1123,The nasogastric tube courses into the stomach with the last side port just below the GE junction,0.0,,,,0.0
1124,There is no pneumothorax,0.0,,,,0.0
1125,Endotracheal tube ends 5,0.0,,,,0.0
1126,5 cm from the carina,0.0,,,,0.0
1127,Nasogastric tube ends in the stomach with the side port just below the GE junction,0.0,,,,0.0
1128,Increased interstitial markings are seen and there is some fluid in the fissure on the right,0.0,,,1.0,1.0
1129,The heart is rather substantially enlarged for a patient of this age,0.0,,,,1.0
1130,Although this may represent myocardial enlargement pericardial effusion cannot be excluded,0.0,,,,0.0
1131,Monitor leads overly the chest,0.0,,,,0.0
1132,CONCLUSION: Cardiomegaly,0.0,,,,1.0
1133,Interstitial edema,1.0,1.0,1.0,,
1134,Case discussed with Dr,0.0,,,,0.0
1135,___ at 08:45,0.0,,,,0.0
1136,AP portable view of the chest,0.0,,,,0.0
1137,Lung volumes are low,0.0,,,,0.0
1138,Moderate cardiomegaly is unchanged,0.0,,,,1.0
1139,Mediastinal and hilar contours are stable,0.0,,,,1.0
1140,Slight decrease in mild pulmonary edema with less fluid in an accessory fissure in the right lower lobe,1.0,1.0,1.0,,
1141,"No pleural effusions, or pneumothorax",0.0,,,,0.0
1142,Slight decrease in mild pulmonary edema,1.0,1.0,1.0,,
1143,"In comparison with the earlier study of this date, there is little change in the appearance of the right IJ catheter, which still extends into the right atrium and could be pulled back approximately 4-5 cm",1.0,,,,0.0
1144,Opacification at the left base is again consistent with substantial volume loss in the left lower lobe and pleural effusion,0.0,,,1.0,1.0
1145,The possibility of supervening pneumonia would have to be considered,0.0,,,,1.0
1146,"Pulmonary vessels are less well defined, suggesting some increasing pulmonary venous congestion",1.0,,1.0,,0.0
1147,"Continued apical pleural capping on the right, and to a lesser degree, on the left, with no evidence of pneumothorax",0.0,,,,0.0
1148,"In comparison with the earlier study of this date, there is now an endotracheal tube in place with its tip approximately 3",0.0,,,,0.0
1149,7 cm above the carina,0.0,,,,0.0
1150,The right IJ catheter again extends to the level of the cavoatrial junction,0.0,,,,0.0
1151,Little change in the appearance of the heart and lungs,1.0,,,,1.0
1152,Nasogastric tube has been placed that extends to at least the body of the stomach where it crosses the lower margin of the image,0.0,,,,0.0
1153,"In comparison with the study of ___, the monitoring and support devices remain in place",0.0,,,,0.0
1154,"There is decreased opacification at the right base, consistent with some decrease in pleural effusion",0.0,,,1.0,1.0
1155,"However, some of this could reflect the more erect posture of the patient",0.0,,,,0.0
1156,"Opacification at the left base persists, consistent with substantial volume loss in the left lower lobe and a moderate effusion",0.0,,,1.0,1.0
1157,"In comparison with study of ___, the endotracheal tube tip is well positioned approximately 4",0.0,,,,0.0
1158,1 cm above the carina,0.0,,,,0.0
1159,Other monitoring and support devices remain in place,0.0,,,,0.0
1160,"Retrocardiac opacification persists, consistent with atelectasis and effusion, though supervening pneumonia would have to be considered in the appropriate clinical setting",0.0,,,1.0,1.0
1161,Hazy opacification at the right base is consistent with pleural fluid,0.0,,,1.0,1.0
1162,Indistinctness of pulmonary vessels could reflect some elevated pulmonary venous pressure,1.0,1.0,,1.0,
1163,AP chest compared to ___ through ___: Mild pulmonary edema has improved since ___,1.0,1.0,1.0,,
1164,"Severe cardiomegaly, marked left lower lobe atelectasis and moderate bilateral pleural effusions are unchanged",0.0,,,,1.0
1165,No pneumothorax,0.0,,,,0.0
1166,"ET tube and right internal jugular line are in standard placements, nasogastric tube passes below the diaphragm and out of view",0.0,,,,0.0
1167,No pneumothorax,0.0,,,,0.0
1168,"As compared to the previous radiograph, the patient has been extubated and the nasogastric tube has been removed",0.0,,,,0.0
1169,The right internal jugular vein catheter is unchanged,0.0,,,,0.0
1170,The lung volumes have overall decreased,0.0,,,,0.0
1171,"In addition, the bilateral pleural effusions have substantially increased, leading to massive bilateral basal areas of atelectasis",0.0,,,,1.0
1172,The previously enlarged cardiac silhouette is no longer clearly visible,0.0,,,,1.0
1173,"However, much better visible than on the previous examinations, is a right apical lucency, combined to a linear structure between the third and fourth posterior right rib",0.0,,,,0.0
1174,"Together in combination, these findings reflect the presence of a small right apical pneumothorax without evidence of tension",0.0,,,,1.0
1175,The fact that no bullous disease was seen on the chest CT from ___ makes this diagnosis even more likely,0.0,,,,0.0
1176,"The referring physician, ___",0.0,,,,0.0
1177,"___ was paged for notification at the time of dictation, 9:01, on ___",0.0,,,,0.0
1178,"In comparison with the earlier study of this date, the monitoring and support devices are essentially unchanged",0.0,,,,0.0
1179,Extensive opacification at the bases is consistent with bilateral pleural effusions and volume loss in the lower lobes,0.0,,,1.0,1.0
1180,Pulmonary edema pattern is again seen,1.0,1.0,1.0,,
1181,A nasogastric tube is seen coursing below the diaphragm with the tip projecting over the sacrum,0.0,,,,0.0
1182,Right internal jugular central line has its tip in the distal SVC,0.0,,,,0.0
1183,Endotracheal tube continues to have its tip 3,0.0,,,,0.0
1184,5 cm above the carina,0.0,,,,0.0
1185,Stable bilateral moderate layering pleural effusions with perihilar airspace opacity likely reflecting mild-to-moderate pulmonary edema which is essentially unchanged,1.0,1.0,1.0,,1.0
1186,"Overall, cardiac and mediastinal contours are likely stable given differences in positioning and technique between studies",0.0,,,,1.0
1187,Clips in the right upper quadrant likely reflect prior cholecystectomy,0.0,,,,0.0
1188,Surgical clips are seen overlying the sacrum of uncertain significance,0.0,,,,0.0
1189,Scattered areas seen in non-dilated loops of bowel,0.0,,,,0.0
1190,Endotracheal tube and right internal jugular central line unchanged in position,0.0,,,,0.0
1191,Nasogastric tube is seen coursing below the diaphragm with the tip not identify,0.0,,,,0.0
1192,Persistent layering bilateral pleural effusions,0.0,,,,1.0
1193,"However, there is improving pulmonary edema compared to the prior study",1.0,1.0,1.0,,
1194,Overall stable cardiac and mediastinal contours given differences in patient positioning,0.0,,,,1.0
1195,No pneumothorax,0.0,,,,0.0
